Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,lipid biosynthetic process (GO:0008610),1/80,0.0990211695219052,0.1906157513296675,0,0,10.073417721518988,23.293988907916823,LIPH
GO_Biological_Process_2021,negative regulation of cellular response to growth factor stimulus (GO:0090288),1/80,0.0990211695219052,0.1906157513296675,0,0,10.073417721518988,23.293988907916823,SMAD1
GO_Biological_Process_2021,response to interferon-gamma (GO:0034341),1/80,0.0990211695219052,0.1906157513296675,0,0,10.073417721518988,23.293988907916823,CCL25
GO_Biological_Process_2021,cell-cell junction organization (GO:0045216),1/82,0.1013716424127319,0.1923380300909073,0,0,9.823703703703703,22.4860833724728,LIMS2
GO_Biological_Process_2021,cellular protein metabolic process (GO:0044267),2/417,0.1015811241172757,0.1923380300909073,0,0,3.927510040160642,8.98181307801798,IGF2BP3;LAMC1
GO_Biological_Process_2021,negative regulation of cellular amide metabolic process (GO:0034249),1/86,0.1060549125253618,0.1975700386561176,0,0,9.359529411764706,21.000895961244385,IGF2BP3
GO_Biological_Process_2021,response to interleukin-1 (GO:0070555),1/86,0.1060549125253618,0.1975700386561176,0,0,9.359529411764706,21.000895961244385,CCL25
GO_Biological_Process_2021,transforming growth factor beta receptor signaling pathway (GO:0007179),1/89,0.1095519547385849,0.2024520123569048,0,0,9.039090909090907,19.988651258599795,SMAD1
GO_Biological_Process_2021,negative regulation of translation (GO:0017148),1/90,0.110714709599323,0.2029769675987589,0,0,8.937078651685393,19.66870991707492,IGF2BP3
GO_Biological_Process_2021,regulation of epithelial cell proliferation (GO:0050678),1/93,0.1141942211727404,0.2049701142738222,0,0,8.644347826086957,18.756977771089677,LAMC1
GO_Biological_Process_2021,negative regulation of cellular protein metabolic process (GO:0032269),1/94,0.1153511465610254,0.2049701142738222,0,0,8.550967741935484,18.46816083576708,IGF2BP3
GO_Biological_Process_2021,regulation of kinase activity (GO:0043549),1/94,0.1153511465610254,0.2049701142738222,0,0,8.550967741935484,18.46816083576708,FLT1
GO_Biological_Process_2021,hemopoiesis (GO:0030097),1/94,0.1153511465610254,0.2049701142738222,0,0,8.550967741935484,18.46816083576708,FLT1
GO_Biological_Process_2021,positive regulation of cold-induced thermogenesis (GO:0120162),1/97,0.1188132118767595,0.2063597890491086,0,0,8.2825,17.64340359069681,ESRRG
GO_Biological_Process_2021,regulation of MAP kinase activity (GO:0043405),1/97,0.1188132118767595,0.2063597890491086,0,0,8.2825,17.64340359069681,FLT1
GO_Biological_Process_2021,glycosaminoglycan biosynthetic process (GO:0006024),1/97,0.1188132118767595,0.2063597890491086,0,0,8.2825,17.64340359069681,CHSY3
GO_Biological_Process_2021,positive regulation of vasculature development (GO:1904018),1/102,0.124554389413718,0.2131263996634731,0,0,7.87049504950495,16.39434189671731,FLT1
GO_Biological_Process_2021,cell junction assembly (GO:0034329),1/102,0.124554389413718,0.2131263996634731,0,0,7.87049504950495,16.39434189671731,LIMS2
GO_Biological_Process_2021,positive regulation of cell population proliferation (GO:0008284),2/474,0.1256087299474644,0.2133501221901785,0,0,3.443149717514124,7.143101665710273,FLT1;LAMC1
GO_Biological_Process_2021,cellular response to cytokine stimulus (GO:0071345),2/482,0.1290875018264888,0.2145830769770967,0,0,3.384375,6.928711793405378,CCL25;NDN
GO_Biological_Process_2021,positive regulation of protein serine/threonine kinase activity (GO:0071902),1/106,0.129121418613924,0.2145830769770967,0,0,7.569142857142857,15.494051230927994,FLT1
GO_Biological_Process_2021,regulation of phosphatidylinositol 3-kinase signaling (GO:0014066),1/106,0.129121418613924,0.2145830769770967,0,0,7.569142857142857,15.494051230927994,FLT1
GO_Biological_Process_2021,negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090101),1/108,0.1313963337628756,0.2168039507087448,0,0,7.426915887850467,15.07320114483968,SMAD1
GO_Biological_Process_2021,response to tumor necrosis factor (GO:0034612),1/110,0.1336655343529621,0.2186380935353563,0,0,7.289908256880734,14.670317893037891,CCL25
GO_Biological_Process_2021,protein-containing complex subunit organization (GO:0043933),1/112,0.1359290341840525,0.2186380935353563,0,0,7.157837837837838,14.284341073134293,LAMC1
GO_Biological_Process_2021,sulfur compound biosynthetic process (GO:0044272),1/113,0.137058650616631,0.2186380935353563,0,0,7.093571428571429,14.097383202443446,CHSY3
GO_Biological_Process_2021,positive regulation of metabolic process (GO:0009893),1/113,0.137058650616631,0.2186380935353563,0,0,7.093571428571429,14.097383202443446,ESRRG
GO_Biological_Process_2021,cellular response to transforming growth factor beta stimulus (GO:0071560),1/114,0.1381868469963723,0.2186380935353563,0,0,7.0304424778761065,13.914290006879398,SMAD1
GO_Biological_Process_2021,positive regulation of kinase activity (GO:0033674),1/114,0.1381868469963723,0.2186380935353563,0,0,7.0304424778761065,13.914290006879398,FLT1
GO_Biological_Process_2021,adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189),1/118,0.1426854664265442,0.2242200186702838,0,0,6.788717948717949,13.21839830149686,PTGER3
GO_Biological_Process_2021,cellular response to interferon-gamma (GO:0071346),1/121,0.1460446043669256,0.2279479973564852,0,0,6.618,12.731994261662797,CCL25
GO_Biological_Process_2021,regulation of mRNA catabolic process (GO:0061013),1/122,0.1471615019890072,0.2281497111373199,0,0,6.56297520661157,12.57613481767676,IGF2BP3
GO_Biological_Process_2021,positive regulation of epithelial cell proliferation (GO:0050679),1/123,0.148276994905322,0.2283465721541959,0,0,6.508852459016394,12.423272038159292,LAMC1
GO_Biological_Process_2021,fatty acid metabolic process (GO:0006631),1/124,0.1493910848511126,0.2285386794742187,0,0,6.455609756097561,12.273325742164896,LIPH
GO_Biological_Process_2021,platelet degranulation (GO:0002576),1/125,0.1505037734851112,0.2287261294411888,0,0,6.403225806451613,12.126218507747616,LGALS3BP
GO_Biological_Process_2021,positive regulation of canonical Wnt signaling pathway (GO:0090263),1/130,0.1560462564291103,0.2355992499027744,0,0,6.153488372093023,11.430737230465454,DKK2
GO_Biological_Process_2021,transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178),1/133,0.1593550386163907,0.2390325579245861,0,0,6.012727272727273,11.04309888437679,SMAD1
GO_Biological_Process_2021,regulation of gene expression (GO:0010468),3/1079,0.1629052237074086,0.2427813333962024,0,0,2.2908517860029094,4.15694917552053,SMAD1;IGF2BP3;ESRRG
GO_Biological_Process_2021,transcription initiation from RNA polymerase II promoter (GO:0006367),1/140,0.1670270935971572,0.2457532396238427,0,0,5.707913669064748,10.214877979073918,ESRRG
GO_Biological_Process_2021,enzyme linked receptor protein signaling pathway (GO:0007167),1/140,0.1670270935971572,0.2457532396238427,0,0,5.707913669064748,10.214877979073918,FLT1
GO_Biological_Process_2021,regulation of mRNA stability (GO:0043488),1/146,0.1735495150248946,0.2536301338929426,0,0,5.470068965517242,9.579689829999632,IGF2BP3
GO_Biological_Process_2021,positive regulation of transferase activity (GO:0051347),1/148,0.1757127217127913,0.2536301338929426,0,0,5.395102040816327,9.381569269744272,FLT1
GO_Biological_Process_2021,regulation of cytosolic calcium ion concentration (GO:0051480),1/148,0.1757127217127913,0.2536301338929426,0,0,5.395102040816327,9.381569269744272,PTGER3
GO_Biological_Process_2021,positive regulation of hydrolase activity (GO:0051345),1/149,0.1767922823882948,0.2536301338929426,0,0,5.3583783783783785,9.284889715044615,CCL25
GO_Biological_Process_2021,regulation of cytokine production (GO:0001817),1/150,0.1778704835093364,0.2536301338929426,0,0,5.322147651006712,9.189750296073624,IGF2BP3
GO_Biological_Process_2021,positive regulation of Wnt signaling pathway (GO:0030177),1/153,0.1810969457938083,0.2566465918918388,0,0,5.2163157894736845,8.913237611851748,DKK2
GO_Biological_Process_2021,cellular response to interleukin-1 (GO:0071347),1/155,0.1832411528538297,0.2581018677392357,0,0,5.148051948051948,8.735998174132183,CCL25
GO_Biological_Process_2021,cellular response to growth factor stimulus (GO:0071363),1/158,0.1864473444416843,0.2609372981828777,0,0,5.048917197452229,8.480193714632895,FLT1
